t                        b_rel
6.744000000000000000e+04 1.000000000000000000e+00
6.768000000000000000e+04 1.000000000000000000e+00
6.792000000000000000e+04 1.000000000000000000e+00
6.816000000000000000e+04 1.000000000000000000e+00
6.840000000000000000e+04 1.000000000000000000e+00
6.864000000000000000e+04 1.000000000000000000e+00
6.888000000000000000e+04 1.000000000000000000e+00
6.912000000000000000e+04 1.000000000000000000e+00
6.936000000000000000e+04 1.000000000000000000e+00
6.960000000000000000e+04 1.000000000000000000e+00
6.984000000000000000e+04 1.000000000000000000e+00
7.008000000000000000e+04 1.000000000000000000e+00
7.032000000000000000e+04 1.000000000000000000e+00
7.056000000000000000e+04 9.999999976933017232e-01
7.080000000000000000e+04 9.999999927247275044e-01
7.104000000000000000e+04 9.999999813465970666e-01
7.128000000000000000e+04 9.999999516982475134e-01
7.152000000000000000e+04 9.999998765776737519e-01
7.176000000000000000e+04 9.999996930339815071e-01
7.200000000000000000e+04 9.999993814807239811e-01
7.224000000000000000e+04 9.999952329064322187e-01
7.248000000000000000e+04 3.383719028378308624e-01
7.272000000000000000e+04 3.383693944977438361e-01
7.296000000000000000e+04 3.383682019166955324e-01
7.320000000000000000e+04 3.383674235415369269e-01
7.344000000000000000e+04 3.383668483297874729e-01
7.368000000000000000e+04 3.383663939468469217e-01
7.392000000000000000e+04 3.383660197645169676e-01
7.416000000000000000e+04 3.383657027491601132e-01
7.440000000000000000e+04 3.383654285764394198e-01
7.464000000000000000e+04 3.383651877274118647e-01
7.488000000000000000e+04 3.383649735524575375e-01
7.512000000000000000e+04 3.383647812216936113e-01
7.536000000000000000e+04 3.383646071134708833e-01
7.560000000000000000e+04 3.383644484546569631e-01
7.584000000000000000e+04 3.383643046158952838e-01
7.608000000000000000e+04 3.383641733822686515e-01
7.632000000000000000e+04 3.383640530145259895e-01
7.656000000000000000e+04 3.383639421153581961e-01
7.680000000000000000e+04 3.383638395455360603e-01
7.704000000000000000e+04 3.383637443641662190e-01
7.728000000000000000e+04 3.383636557852189863e-01
7.752000000000000000e+04 3.383635731453226714e-01
7.776000000000000000e+04 3.383634958794894398e-01
7.800000000000000000e+04 3.383634235025245740e-01
7.824000000000000000e+04 3.383633555945778082e-01
7.848000000000000000e+04 3.383632917897552161e-01
7.872000000000000000e+04 3.383632317670244860e-01
7.896000000000000000e+04 3.383631752430077966e-01
7.920000000000000000e+04 3.383631219726682127e-01
7.944000000000000000e+04 3.383630719701737344e-01
7.968000000000000000e+04 3.383630249894414299e-01
7.992000000000000000e+04 3.383629808173723164e-01
8.016000000000000000e+04 3.383629392632571120e-01
8.040000000000000000e+04 3.383629001550295667e-01
8.064000000000000000e+04 3.383628633363824356e-01
8.088000000000000000e+04 3.383628286684002839e-01
8.112000000000000000e+04 3.383627960634522092e-01
8.136000000000000000e+04 3.383627654812392804e-01
8.160000000000000000e+04 3.383627368589900430e-01
8.184000000000000000e+04 3.383627101235795465e-01
8.208000000000000000e+04 3.383626852031967891e-01
8.232000000000000000e+04 3.383626620310702382e-01
8.256000000000000000e+04 3.383626405534560511e-01
8.280000000000000000e+04 3.383626207338406577e-01
8.304000000000000000e+04 3.383626026033235701e-01
8.328000000000000000e+04 3.383625861065686635e-01
8.352000000000000000e+04 3.383625711944620584e-01
8.376000000000000000e+04 3.383625578236174603e-01
8.400000000000000000e+04 3.383625459559370108e-01
8.424000000000000000e+04 3.383625355582329242e-01
8.448000000000000000e+04 3.383625266019055222e-01
8.472000000000000000e+04 3.383625190626728951e-01
8.496000000000000000e+04 3.383625129203459148e-01
8.520000000000000000e+04 3.383625081586452699e-01
8.544000000000000000e+04 3.383625047650565265e-01
8.568000000000000000e+04 3.383625027307209931e-01
8.592000000000000000e+04 3.383625020503552294e-01
8.616000000000000000e+04 0.000000000000000000e+00
